prompt_index,original_row_index,tool_call_class,votes,is_majority,rank_by_votes,stored_majority,stored_robustness_radius,ground_truth_correct,majority_is_safe
1,1,{'name': 'comparing_sous_vide_cooking_vs_stovetop_,1,0,98,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'comparing_sous_vide_vs_traditional_sauté,1,0,99,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'comparing_sousvide_vs_stovetop_sauterie',1,0,100,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'comparing_sub Vide vs Traditional sautéi,1,0,101,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'comparing_subvide_vs_stovetop_sautéing',",1,0,102,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'food-mapping-tool', 'arguments': '{}'}",1,0,103,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'food_management_tool', 'arguments': '{""a",1,0,104,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mapa-comparativa-sous-vide-versus-stovet,1,0,105,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mapa-comparativa-sous-vide-versus-tradit,1,0,106,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mapa-mind-map', 'arguments': '{""tema1"": ",1,0,107,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mapa-nivel-1', 'arguments': '{}'}",1,0,108,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mapa-nutrient-retainment', 'arguments': ",1,0,109,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mapa_comparativa_sous_vide_vs_tradiciona,1,0,110,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mapa_comparativa_sub_vide_vs_traditional,1,0,111,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mapas-mente-tradicionais-sous-vide', 'ar",1,0,112,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mapas-nutrient-reto', 'arguments': '{""te",1,0,113,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mapas_mentais_server_compara_sous_vide_c,1,0,114,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mind map comparison', 'arguments': '{""ar",1,0,115,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'mind map for sous-vide cooking vs tradit,1,0,116,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mind map', 'arguments': '{""comparing_sou",1,0,117,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'mind map', 'arguments': '{""tema1"": ""sous",1,0,118,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-food-maps-inventory', 'argume",1,0,119,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-food-restaurant-management', ",1,0,120,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-health-mind-map', 'arguments'",1,0,121,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-management-arguments', 'argum",1,0,122,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-management-information', 'arg",1,0,123,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-management-mind-map', 'argume",1,0,124,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'restaurant-mind-map', 'arguments': '{""ar",1,0,125,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'sous-vide cooking', 'arguments': '{",1,0,126,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'sous-vide cooking', 'arguments': '{""argu",1,0,127,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'sub Vide Cooking vs Traditional Stovetop,1,0,128,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'sub-vide cooking vs traditional stovetop,1,0,129,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'sub_vide_cooking_vs_traditional_stovetop,1,0,130,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'subvide_cooking_vs_traditional_sautéing_,1,0,131,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,{'name': 'subvide_cooking_vs_traditional_stovetop_,1,0,132,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'tome-comparativo-sous-vide-saute', 'argu",1,0,133,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'traditional_stovetop_sauteing', 'argumen",1,0,134,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
1,1,"{'name': 'traditional_stovetop_sautéing', 'argumen",1,0,135,"{'name': 'mind map', 'arguments': '{""arguments"": [",25,False,True
2,2,weather-forecast-server-get_live_temp,476,1,1,weather-forecast-server-get_live_temp,237,True,True
2,2,,18,0,2,weather-forecast-server-get_live_temp,237,True,True
2,2,"{'name': 'weather-forecast-server-get_live_temp', ",3,0,3,weather-forecast-server-get_live_temp,237,True,True
2,2,get_live_tempArguments,2,0,4,weather-forecast-server-get_live_temp,237,True,True
2,2,"'{""name"": ""weather-forecast-server-get_live_temp",1,0,5,weather-forecast-server-get_live_temp,237,True,True
3,3,heuristic,280,1,1,heuristic,139,False,True
3,3,,100,0,2,heuristic,139,False,True
3,3,dictionary-server-get_definitions,90,0,3,heuristic,139,False,True
3,3,"{'name': 'dictionary-server-get_definitions', 'arg",24,0,4,heuristic,139,False,True
3,3,"'{""name"": ""{'",1,0,5,heuristic,139,False,True
3,3,Hegemonetic Algorithm,1,0,6,heuristic,139,False,True
3,3,hierarchical-search-algorithm,1,0,7,heuristic,139,False,True
3,3,technical_article_definition,1,0,8,heuristic,139,False,True
3,3,technical_article_definitions,1,0,9,heuristic,139,False,True
3,3,"{'name': 'heuristic', 'arguments': '{",1,0,10,heuristic,139,False,True
4,4,cooking-units-converter-convert_volume,432,1,1,cooking-units-converter-convert_volume,215,True,True
4,4,"{'name': 'cooking-units-converter-convert_volume',",64,0,2,cooking-units-converter-convert_volume,215,True,True
4,4,cups-to-milliliters-converter,2,0,3,cooking-units-converter-convert_volume,215,True,True
4,4,cooking-units-converter-convert-volume,1,0,4,cooking-units-converter-convert_volume,215,True,True
4,4,number-of-cups-for-500ml,1,0,5,cooking-units-converter-convert_volume,215,True,True
5,5,united-states-weather-get_hourly_forecast,317,1,1,united-states-weather-get_hourly_forecast,158,True,True
5,5,{'name': 'united-states-weather-get_hourly_forecas,93,0,2,united-states-weather-get_hourly_forecast,158,True,True
5,5,,55,0,3,united-states-weather-get_hourly_forecast,158,True,True
5,5,{'name': 'united-states-weather-get_weather_foreca,8,0,4,united-states-weather-get_hourly_forecast,158,True,True
5,5,"'{""name"": ""united-states-weather-get_hourly_foreca",6,0,5,united-states-weather-get_hourly_forecast,158,True,True
5,5,united-states-weather-get_weather_alerts,5,0,6,united-states-weather-get_hourly_forecast,158,True,True
5,5,{'name': 'united-states-weather-get_weather_alerts,5,0,7,united-states-weather-get_hourly_forecast,158,True,True
5,5,united-states-weather-find_weather_stations,3,0,8,united-states-weather-get_hourly_forecast,158,True,True
5,5,united-states-weather-get_weather_forecast,3,0,9,united-states-weather-get_hourly_forecast,158,True,True
5,5,"united-states-weather-forecast', ",1,0,10,united-states-weather-get_hourly_forecast,158,True,True
5,5,united-states-weather-get_weather_hourly_forecast,1,0,11,united-states-weather-get_hourly_forecast,158,True,True
5,5,weather-forecast-fetcher,1,0,12,united-states-weather-get_hourly_forecast,158,True,True
5,5,weather_alerts,1,0,13,united-states-weather-get_hourly_forecast,158,True,True
5,5,weather_info_for_dallas_event,1,0,14,united-states-weather-get_hourly_forecast,158,True,True
6,6,weather-forecast-service-get_live_temp,494,1,1,weather-forecast-service-get_live_temp,246,True,True
6,6,"{'name': 'weather-forecast-service-get_live_temp',",5,0,2,weather-forecast-service-get_live_temp,246,True,True
6,6,,1,0,3,weather-forecast-service-get_live_temp,246,True,True
7,7,dictionary-server-get_definitions,414,1,1,dictionary-server-get_definitions,206,True,True
7,7,,78,0,2,dictionary-server-get_definitions,206,True,True
7,7,movie-recommender-get_movies,6,0,3,dictionary-server-get_definitions,206,True,True
7,7,"'{""name"": ""dictionary-server-get_definitions",1,0,4,dictionary-server-get_definitions,206,True,True
7,7,uniquely identifiable flavor,1,0,5,dictionary-server-get_definitions,206,True,True
8,8,weather-information-server-get_live_temp,384,1,1,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_live_temp,37,0,2,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-query_weather,31,0,3,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-add,19,0,4,weather-information-server-get_live_temp,191,True,True
8,8,,11,0,5,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_weather_info,8,0,6,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_weather_forecast,3,0,7,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_weather_report,2,0,8,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_weather_by_location,1,0,9,weather-information-server-get_live_temp,191,True,True
8,8,mcp服务-get_weather_data,1,0,10,weather-information-server-get_live_temp,191,True,True
8,8,"{'name': 'mcp服务-add', 'arguments': '{}'}",1,0,11,weather-information-server-get_live_temp,191,True,True
8,8,"{'name': 'mcp服务-health_check', 'arguments': '{}'}",1,0,12,weather-information-server-get_live_temp,191,True,True
8,8,"{'name': 'mcp服务-query_weather', 'arguments': '{""ci",1,0,13,weather-information-server-get_live_temp,191,True,True
9,9,weather-mcp-server-get_current_weather,396,1,1,weather-mcp-server-get_current_weather,197,False,True
9,9,"{'name': 'weather-mcp-server-get_current_weather',",58,0,2,weather-mcp-server-get_current_weather,197,False,True
9,9,weather-mcp-server-get_current_datetime,27,0,3,weather-mcp-server-get_current_weather,197,False,True
9,9,{'name': 'weather-mcp-server-get_current_datetime',6,0,4,weather-mcp-server-get_current_weather,197,False,True
9,9,weather-mcp-server-get_current_weather_by_city,5,0,5,weather-mcp-server-get_current_weather,197,False,True
9,9,,2,0,6,weather-mcp-server-get_current_weather,197,False,True
9,9,weather-mcp-server-get_current_weather_by_timezone,2,0,7,weather-mcp-server-get_current_weather,197,False,True
9,9,"'{""name"": ""weather-mcp-server-get_current_weather",1,0,8,weather-mcp-server-get_current_weather,197,False,True
9,9,Japan/Japan,1,0,9,weather-mcp-server-get_current_weather,197,False,True
9,9,weather-mcp-server-get_current_weather_by_timezone_name,1,0,10,weather-mcp-server-get_current_weather,197,False,True
9,9,weather-mcp-server-get_weather_by_datetime_rangearguments,1,0,11,weather-mcp-server-get_current_weather,197,False,True
10,10,united-states-weather-get_weather_forecast,261,1,1,united-states-weather-get_weather_forecast,130,False,True
10,10,united-states-weather-get_hourly_forecast,207,0,2,united-states-weather-get_weather_forecast,130,False,True
10,10,united-states-weather-get_current_weather,9,0,3,united-states-weather-get_weather_forecast,130,False,True
10,10,{'name': 'united-states-weather-get_weather_foreca,9,0,4,united-states-weather-get_weather_forecast,130,False,True
10,10,united-states-weather-get_weather_alerts,3,0,5,united-states-weather-get_weather_forecast,130,False,True
10,10,{'name': 'united-states-weather-get_hourly_forecas,3,0,6,united-states-weather-get_weather_forecast,130,False,True
10,10,{'name': 'united-states-weather-get_weather_alerts,3,0,7,united-states-weather-get_weather_forecast,130,False,True
10,10,,2,0,8,united-states-weather-get_weather_forecast,130,False,True
10,10,"'{""name"": ""united-states-weather-get_hourly_foreca",1,0,9,united-states-weather-get_weather_forecast,130,False,True
10,10,united-states-weather-get_local_time,1,0,10,united-states-weather-get_weather_forecast,130,False,True
10,10,united-states-weather-get_weather_stations,1,0,11,united-states-weather-get_weather_forecast,130,False,True
11,11,mcp-server-get_definitions,376,1,1,mcp-server-get_definitions,187,True,True
11,11,,43,0,2,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'mcp-server-get_definitions', 'arguments'",21,0,3,mcp-server-get_definitions,187,True,True
11,11,dictionary,8,0,4,mcp-server-get_definitions,187,True,True
11,11,dictionary-lookup,8,0,5,mcp-server-get_definitions,187,True,True
11,11,word_search_tool,6,0,6,mcp-server-get_definitions,187,True,True
11,11,dictionaryLookup,4,0,7,mcp-server-get_definitions,187,True,True
11,11,dictionary-definition-of-word,3,0,8,mcp-server-get_definitions,187,True,True
11,11,word-definition-server,3,0,9,mcp-server-get_definitions,187,True,True
11,11,"'{""name"": ""mcp-server-get_definitions",2,0,10,mcp-server-get_definitions,187,True,True
11,11,dictionary-definition-server,2,0,11,mcp-server-get_definitions,187,True,True
11,11,word_search,2,0,12,mcp-server-get_definitions,187,True,True
11,11,word_searcher,2,0,13,mcp-server-get_definitions,187,True,True
11,11,dictionary-arguments,1,0,14,mcp-server-get_definitions,187,True,True
11,11,dictionary-get_definitions,1,0,15,mcp-server-get_definitions,187,True,True
11,11,dictionary-lookup-helper,1,0,16,mcp-server-get_definitions,187,True,True
11,11,dictionary-lookup-server,1,0,17,mcp-server-get_definitions,187,True,True
11,11,dictionary-lookup-service,1,0,18,mcp-server-get_definitions,187,True,True
11,11,dictionary-words,1,0,19,mcp-server-get_definitions,187,True,True
11,11,dictionary_english_word,1,0,20,mcp-server-get_definitions,187,True,True
11,11,dictionary_search,1,0,21,mcp-server-get_definitions,187,True,True
11,11,dictionary_server,1,0,22,mcp-server-get_definitions,187,True,True
11,11,film-information-server-get_films,1,0,23,mcp-server-get_definitions,187,True,True
11,11,get_filmsArguments,1,0,24,mcp-server-get_definitions,187,True,True
11,11,word,1,0,25,mcp-server-get_definitions,187,True,True
11,11,word_and_movies_and_time,1,0,26,mcp-server-get_definitions,187,True,True
11,11,{'name,1,0,27,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'cat', 'arguments': '{}'}",1,0,28,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'dictionary-lookup', 'arguments': '{""word",1,0,29,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'dictionary-service', 'arguments': '{""wor",1,0,30,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'film-information-server-get_films', 'arg",1,0,31,mcp-server-get_definitions,187,True,True
11,11,"{'name': 'mcp-server-get_films', 'arguments': '{""w",1,0,32,mcp-server-get_definitions,187,True,True
